Station,Type,Name,County,State,Latitude,Longitude,Elevation,Supported By,First Ob,Most Recent Ob,Temp,Dew Point,Wet Bulb,SLP,Stn. Pres.,Vis,Wx Type,Obscur,Wind Spd,Wind Dir,Wind Gusts,RH,Precip,Snow,ET,Altimeter,Soil Temp,Soil Moist.,Soil Salinity,Solar Rad.,PAR,Cloud Cover,Fuel Temp,Fuel Moist.
NC-SR-6,CoCoRaHS,Ararat 4.7 SW,Surry County,NC,36.346,-80.603,1176,,8/26/2009,11/1/2020,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-RN-2,CoCoRaHS,Archdale 1.3 SE,Randolph County,NC,35.889639,-79.952122,778,,6/25/2008,8/12/2010,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
310241,COOP,Arcola,Warren County,NC,36.29111,-77.98222,330,NOAA National Weather Service,9/1/1930,4/25/2018,YES,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-BC-17,CoCoRaHS,Fletcher 1.2 N,Buncombe County,NC,35.4519,-82.4995,2158,,5/24/2008,8/26/2008,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-BC-23,CoCoRaHS,Arden 0.8 NW,Buncombe County,NC,35.472549,-82.529078,2221,,12/1/2008,12/1/2008,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-BC-30,CoCoRaHS,Arden 1.8 NE,Buncombe County,NC,35.48131,-82.48938,2251,,2/14/2009,3/29/2010,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-BC-39,CoCoRaHS,Arden 3.3 WNW,Buncombe County,NC,35.4745,-82.5737,2158,,7/28/2010,11/4/2011,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-BC-41,CoCoRaHS,Arden 1.6 ENE,Buncombe County,NC,35.47906,-82.49238,2279,,8/21/2010,11/3/2020,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-BC-42,CoCoRaHS,Arden 2.9 WNW,Buncombe County,NC,35.475493,-82.567166,2218,,9/1/2010,6/11/2013,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
NC-BC-83,CoCoRaHS,Arden 2.4 WNW,Buncombe County,NC,35.474264,-82.55825,2075,,5/15/2014,10/29/2020,no,no,no,no,no,no,no,no,no,no,no,no,YES,YES,no,no,no,no,no,no,no,no,no,no
