"site","year","medianDepth","nobsv"
"353219077153801",2017,3.59,365
"353219077153801",2018,3.06,365
"353219077153801",2019,3.46,365
"353219077153801",2020,3.21,366
"353219077153801",2021,3.05,207
"354057080362601",1990,6.155,365
"354057080362601",1991,6.6,365
"354057080362601",1992,6.74,366
"354057080362601",1993,7.8,365
"354057080362601",1994,6.98,365
"354057080362601",1995,6.65,365
"354057080362601",1996,6.255,366
"354057080362601",1997,6.615,365
"354057080362601",1998,7.06,365
"354057080362601",1999,7.84,365
"354057080362601",2000,7.66,366
"354057080362601",2001,8.53,365
"354057080362601",2002,8.78,365
"354057080362601",2003,7.03,365
"354057080362601",2004,7.38,366
"354057080362601",2005,7.29,365
"354057080362601",2006,7.5,365
"354057080362601",2007,8.065,365
"354057080362601",2008,8.67,366
"354057080362601",2009,7.95,365
"354057080362601",2010,7.49,365
"354057080362601",2011,7.95,365
"354057080362601",2012,8.1,366
"354057080362601",2013,7.55,365
"354057080362601",2014,7.4,365
"354057080362601",2015,7.62,365
"354057080362601",2016,7.835,366
"354057080362601",2017,7.25,365
"354057080362601",2018,6.6,365
"354057080362601",2019,6.26,365
"354057080362601",2020,5.87,366
"354057080362601",2021,5.96,207
"354133082042201",2010,31.095,134
"354133082042201",2011,30.55,365
"354133082042201",2012,29.75,366
"354133082042201",2013,27.47,365
"354133082042201",2014,28.61,365
"354133082042201",2015,29.565,365
"354133082042201",2016,29.915,366
"354133082042201",2017,28.83,365
"354133082042201",2018,26.7,365
"354133082042201",2019,26.95,365
"354133082042201",2020,26,366
"354133082042201",2021,27.51,207
"354133082042203",2010,31.02,134
"354133082042203",2011,30.49,365
"354133082042203",2012,29.77,366
"354133082042203",2013,27.8,365
"354133082042203",2014,28.84,365
"354133082042203",2015,29.665,365
"354133082042203",2016,29.8,366
"354133082042203",2017,28.935,365
"354133082042203",2018,27.15,365
"354133082042203",2019,26.88,365
"354133082042203",2020,26.54,366
"354133082042203",2021,27.77,207
"354302081433201",2000,8.795,354
"354302081433201",2001,8.37,365
"354302081433201",2002,8.07,365
"354302081433201",2003,7.04,365
"354302081433201",2004,7.335,366
"354302081433201",2005,7.875,365
"354302081433201",2006,8.43,365
"354302081433201",2007,9.53,365
"354302081433201",2008,9.305,366
"354302081433201",2009,8.67,365
"354302081433201",2010,8.36,365
"354302081433201",2011,8.68,365
"354302081433201",2012,8.84,366
"354302081433201",2013,7.56,365
"354302081433201",2014,7.79,365
"354302081433201",2015,7.74,365
"354302081433201",2016,8.51,366
"354302081433201",2017,8.18,365
"354302081433201",2018,7.31,365
"354302081433201",2019,7.35,365
"354302081433201",2020,7.16,366
"354302081433201",2021,6.82,207
"354418076463601",1990,2.43,365
"354418076463601",1991,2.24,365
"354418076463601",1992,1.76,366
"354418076463601",1993,3.64,365
"354418076463601",1994,2.06,365
"354418076463601",1995,2.505,365
"354418076463601",1996,1.19,366
"354418076463601",1997,3.475,365
"354418076463601",1998,2.24,365
"354418076463601",1999,2.34,365
"354418076463601",2000,2.39,366
"354418076463601",2001,3.29,365
"354418076463601",2002,3.36,365
"354418076463601",2003,1.98,365
"354418076463601",2004,2.21,366
"354418076463601",2005,2.355,365
"354418076463601",2006,2.25,365
"354418076463601",2007,2.42,365
"354418076463601",2008,4.84,366
"354418076463601",2009,3.6,365
"354418076463601",2010,2.86,365
"354418076463601",2011,2.85,365
"354418076463601",2012,2.435,366
"354418076463601",2013,2.535,365
"354418076463601",2014,2.56,365
"354418076463601",2015,1.99,365
"354418076463601",2016,2.25,366
"354418076463601",2017,2.28,365
"354418076463601",2018,2.04,365
"354418076463601",2019,2.75,365
"354418076463601",2020,2.1,366
"354418076463601",2021,1.85,207
"355359080331701",1990,15.54,365
"355359080331701",1991,15.33,365
"355359080331701",1992,15.84,366
"355359080331701",1993,13.87,365
"355359080331701",1994,14.65,365
"355359080331701",1995,14.97,365
"355359080331701",1996,14.35,366
"355359080331701",1997,14.57,365
"355359080331701",1998,15.15,365
"355359080331701",1999,17.53,365
"355359080331701",2000,19.015,366
"355359080331701",2001,20.72,365
"355359080331701",2002,22.05,365
"355359080331701",2003,16.21,365
"355359080331701",2004,16.65,366
"355359080331701",2005,16.6,365
"355359080331701",2006,17.68,365
"355359080331701",2007,17.86,365
"355359080331701",2008,19.55,366
"355359080331701",2009,18.48,365
"355359080331701",2010,17.32,365
"355359080331701",2011,18.69,365
"355359080331701",2012,19.295,366
"355359080331701",2013,18.42,365
"355359080331701",2014,17.335,365
"355359080331701",2015,18.11,365
"355359080331701",2016,16.61,366
"355359080331701",2017,18.06,365
"355359080331701",2018,17.455,365
"355359080331701",2019,14.87,365
"355359080331701",2020,13.92,366
"355359080331701",2021,12.92,207
"355944079013401",2013,42.26,159
"355944079013401",2014,40.13,365
"355944079013401",2015,40.29,365
"355944079013401",2016,38.4,366
"355944079013401",2017,39.23,365
"355944079013401",2018,41.81,365
"355944079013401",2019,36.4,365
"355944079013401",2020,37.57,366
"355944079013401",2021,34.88,204
"361011079595401",2009,19.86,336
"361011079595401",2010,19.36,365
"361011079595401",2011,19.27,365
"361011079595401",2012,19.355,366
"361011079595401",2013,20,365
"361011079595401",2014,19.69,365
"361011079595401",2015,21.62,365
"361011079595401",2016,19.44,366
"361011079595401",2017,20.78,365
"361011079595401",2018,21.43,365
"361011079595401",2019,18.26,365
"361011079595401",2020,16.72,366
"361011079595401",2021,15.08,207
"361829076163201",1991,1.78,89
"361829076163201",1992,1.57,366
"361829076163201",1993,4.11,365
"361829076163201",1994,2.69,365
"361829076163201",1995,2.96,365
"361829076163201",1996,1.19,366
"361829076163201",1997,4.66,365
"361829076163201",1998,3.385,365
"361829076163201",1999,1.88,365
"361829076163201",2000,1.82,366
"361829076163201",2001,3.63,365
"361829076163201",2002,3.7,365
"361829076163201",2003,1.18,365
"361829076163201",2004,1.53,366
"361829076163201",2005,1.36,365
"361829076163201",2006,1.49,365
"361829076163201",2007,4.585,365
"361829076163201",2008,4.97,366
"361829076163201",2009,2.14,365
"361829076163201",2010,2.15,365
"361829076163201",2011,3.88,365
"361829076163201",2012,2.965,366
"361829076163201",2013,3.01,365
"361829076163201",2014,3.66,365
"361829076163201",2015,1.74,365
"361829076163201",2016,1.535,366
"361829076163201",2017,2.33,365
"361829076163201",2018,1.5,365
"361829076163201",2019,2.44,365
"361829076163201",2020,1.085,366
"361829076163201",2021,0.76,207
"AA35N1",1999,6.09,1
"AA35N1",2000,5.495,4
"AA35N1",2001,6.12,3
"AA35N1",2002,8.13,5
"AA35N1",2003,5.88,4
"AA35N1",2004,5.94,5
"AA35N1",2005,5.24,37
"AA35N1",2006,5.63,365
"AA35N1",2007,7.11,365
"AA35N1",2008,7.905,366
"AA35N1",2009,7.85,323
"AA35N1",2010,6.99,365
"AA35N1",2011,7.34,365
"AA35N1",2012,7.8,306
"AA35N1",2013,6.075,324
"AA35N1",2014,5.33,365
"AA35N1",2015,5.264,365
"AA35N1",2016,4.0565,366
"AA35N1",2017,5.851,365
"AA35N1",2018,5.936,312
"AA35N1",2019,6.078,197
"AA35N1",2020,4.373,366
"AA35N1",2021,4.902,82
"AA35N2",2001,-56.29,1
"AA35N2",2002,-43.38,4
"AA35N2",2003,-43.91,4
"AA35N2",2004,-45.84,6
"AA35N2",2005,-40.9,4
"AA35N2",2006,-40.915,4
"AA35N2",2007,-40.73,4
"AA35N2",2008,-40.535,4
"AA35N2",2009,-40.475,4
"AA35N2",2010,-38.92,5
"AA35N2",2011,-39.1,4
"AA35N2",2012,-39.31,6
"AA35N2",2013,-39.67,4
"AA35N2",2014,-39.405,4
"AA35N2",2015,-39.405,4
"AA35N2",2016,-39.33,5
"AA35N2",2017,-38.965,4
"AA35N2",2018,-38.385,4
"AA35N2",2019,-39.015,8
"AA35N2",2020,-38.42,5
"AA35N2",2021,-37.84,5
"AA35N3",1999,6.93,1
"AA35N3",2000,6.535,4
"AA35N3",2001,7.4,3
"AA35N3",2002,7.87,5
"AA35N3",2003,6.58,4
"AA35N3",2004,6.91,255
"AA35N3",2005,6.77,305
"AA35N3",2006,6.69,293
"AA35N3",2007,7.71,365
"AA35N3",2008,7.605,366
"AA35N3",2009,7.31,365
"AA35N3",2010,6.64,174
"AA35N3",2011,7.485,334
"AA35N3",2012,7.58,281
"AA35N3",2013,6.88,273
"AA35N3",2014,6.48,365
"AA35N3",2015,6.406,365
"AA35N3",2016,6.1785,366
"AA35N3",2017,6.83,365
"AA35N3",2018,6.732,365
"AA35N3",2019,6.757,365
"AA35N3",2020,6.186,366
"AA35N3",2021,5.778,158
"AA35N4",2015,5.294,150
"AA35N4",2016,4.7125,366
"AA35N4",2017,6.158,365
"AA35N4",2018,6.188,365
"AA35N4",2019,6.255,242
"AA35N4",2020,5.892,338
"AA35N4",2021,5.4725,146
"AA39V1",1990,21.01,1
"AA39V1",1994,19.5,1
"AA39V1",1995,18.1,1
"AA39V1",1998,20.52,1
"AA39V1",1999,20.98,1
"AA39V1",2000,19.11,4
"AA39V1",2001,20.775,4
"AA39V1",2002,22.18,4
"AA39V1",2003,19.25,4
"AA39V1",2004,19.52,255
"AA39V1",2005,19.38,363
"AA39V1",2006,19.14,365
"AA39V1",2007,21.82,365
"AA39V1",2008,20.91,278
"AA39V1",2009,19.79,365
"AA39V1",2010,21.11,365
"AA39V1",2011,20.47,36
"AA39V1",2012,22.11,45
"AA39V1",2013,19.15,338
"AA39V1",2014,19.16,365
"AA39V1",2015,18.788,365
"AA39V1",2016,18.789,366
"AA39V1",2017,20.461,365
"AA39V1",2018,19.625,365
"AA39V1",2019,19.601,332
"AA39V1",2020,18.2095,366
"AA39V1",2021,17.192,131
"AA39V2",1998,48.16,1
"AA39V2",1999,48.67,1
"AA39V2",2000,48.695,4
"AA39V2",2001,49.245,4
"AA39V2",2002,50.055,4
"AA39V2",2003,49.775,4
"AA39V2",2004,49.03,18
"AA39V2",2005,48.8,361
"AA39V2",2006,48.61,365
"AA39V2",2007,48.54,365
"AA39V2",2008,49.66,366
"AA39V2",2009,49.19,365
"AA39V2",2010,49.17,277
"AA39V2",2011,49.47,365
"AA39V2",2012,49.75,225
"AA39V2",2013,49.37,189
"AA39V2",2014,48.76,365
